JIP Classification		"Real gross output (million yen, in chain-linked 2011 prices)"																					
No.	Industry Name	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
68	Wholesale	56344457.12	59644473.91	61695220.63	64776175.11	63869634.99	64840039.13	63072253.26	64695872.67	65406904.49	66085890.43	69924200.66	76655034.79	74479250.61	70826715.53	69727510.36	60190562.7	62230999.04	63051759	64212157	65475576.2	61439995.64	62035626.49
69	Retail	35073226.06	36581492.36	36866588.93	35605661.15	34199515.29	33563796.16	33330397.52	35851375.44	37611228.96	39119543.44	39648631.37	38050091.48	37676043.33	39881366.01	41073793.77	44595416.88	47239191.36	48215335	49747647	51092225.68	50228960.75	49913675.88
70	Railway	7741391.93	7716838.299	7750219.87	7639659.898	7487229.378	7374516.754	7408851.506	7446817.221	7435562.158	7501754.15	7567013.614	7563218.765	7562740.032	7584164.954	7535353.649	7182109.626	7040443.274	7014748	7210606	7369703.201	7414289.318	7649214.469
71	Road transportation	20349061.93	21340292.88	19295992.78	19177859.78	18442228.85	18586431	19326773.17	19364550.53	19550560.76	20204259.43	20763480.21	20500788.62	20803174.16	21202391.27	20844155.53	19421227.77	19348383.37	18539131	18878860	18469643.95	18500573.21	17942643.67
72	Water transportation	5160437.706	5427920.163	4650244.057	5125504.56	5507578.416	5131091.732	4786106.479	4992111.066	4988246.175	5181220.52	5432654.609	5760957.122	6116170.976	6618401.327	6603204.27	4990855.352	5719438.099	5693286	5915633	5907208.97	6428781.977	6537432.069
73	Air transportation	3860272.985	4157229.237	4525207.897	4650506.878	4511626.609	4539531.741	4631895.159	4364956.39	4404867.624	4267306.182	4379895.253	4406069.44	4655329.862	4728872.758	4367008.48	3819432.156	3603772.056	3354502	3486414	3768687.953	3960857.96	4147863.6
74	Other transportation and packing	4597303.829	4664324.509	4572588.537	4375338.298	4061930.878	3788232.141	3382354.121	3478610.355	3672289.718	3825749.744	4095589.756	4308338.186	4430047.702	4473921.025	4394237.397	4172128.688	4361602.595	4444906	4564681	4638373.45	4642011.333	4653662.319
75	Mail	1951589.911	2052414.729	2120433.146	2127101.876	2105572.029	2086642.969	2086060.197	2067453.391	2017725.041	1957711.418	1917949.803	1897882.108	1899596.421	1895550.535	1861616.507	1826444.219	1793378.405	1776337	1762954	1797726.838	1796447.889	1845393.318
76	Hotels	7092889.952	7133195.424	7934988.05	7864136.572	7828104.405	7796534.015	7951279.313	7823270.367	7522472.664	7157871.379	6718309.899	6502220.563	6313984.063	6382636.461	6339565.085	6061228.013	6218853.456	6051321	6334043	6542160.25	6400159.614	6498640.341
77	Eating and drinking services	27564039.95	28125058.48	28540752.64	28586979.75	28734251.41	28857840.86	28465750.32	28615954.57	28118174.85	27290275.89	26728822.35	26481500.77	26471885.27	26594969.73	25695756.69	24497283.55	24127584.44	23304328	23397190	23122525.57	23118273.99	23199309.82
